id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
35712804,首尔之春,,https://dou.img.lithub.cc/movie/35712804.jpg,2023-11-22(韩国),https://movie.douban.com/subject/35712804/,8.8,剧情,5,好像必须得给五星了。,,2024-02-12 23:42:24,2023 / 韩国 / 剧情 / 金性洙 / 黄政民 郑雨盛
35725869,年会不能停！,,https://dou.img.lithub.cc/movie/35725869.jpg,2023-12-29(中国大陆),https://movie.douban.com/subject/35725869/,8.1,"剧情,喜剧",4,这片子太俗了，大鹏就总能整哭我，这就是人性？,,2024-01-10 19:16:45,2023 / 中国大陆 / 剧情 喜剧 / 董润年 / 大鹏 白客
36654105,特雷弗·诺亚：说到哪了,,https://dou.img.lithub.cc/movie/36654105.jpg,2023-12-19(美国),https://movie.douban.com/subject/36654105/,7.4,"喜剧,脱口秀",4,崔娃的段子有点儿炉火纯青了。,,2023-12-30 23:21:40,2023 / 美国 / 喜剧 脱口秀 / 戴维·保罗·迈耶 / 特雷弗·诺亚 尼尔·戴蒙德
27001001,生活大爆炸 第十二季,,https://dou.img.lithub.cc/movie/27001001.jpg,2018-09-24(美国),https://movie.douban.com/subject/27001001/,9.7,"喜剧,爱情",5,,,2023-12-28 13:39:25,2018 / 美国 / 喜剧 爱情 / 马克·森卓斯基 / 吉姆·帕森斯 约翰尼·盖尔克奇
27000999,生活大爆炸 第十一季,,https://dou.img.lithub.cc/movie/27000999.jpg,2017-09-25(美国),https://movie.douban.com/subject/27000999/,9.5,"喜剧,爱情",5,,,2023-12-28 13:39:08,2017 / 美国 / 喜剧 爱情 / 马克·森卓斯基 / 吉姆·帕森斯 凯莉·库柯
25845401,生活大爆炸 第十季,,https://dou.img.lithub.cc/movie/25845401.jpg,2016-09-19(美国),https://movie.douban.com/subject/25845401/,9.3,喜剧,5,,,2023-12-28 13:38:52,2016 / 美国 / 喜剧 / 马克·森卓斯基 / 约翰尼·盖尔克奇 吉姆·帕森斯
25845400,生活大爆炸 第九季,,https://dou.img.lithub.cc/movie/25845400.jpg,2015-09-21(美国),https://movie.douban.com/subject/25845400/,9.2,喜剧,5,,,2023-12-28 13:38:32,2015 / 美国 / 喜剧 / 马克·森卓斯基 / 约翰尼·盖尔克奇 吉姆·帕森斯
25845393,生活大爆炸 第八季,,https://dou.img.lithub.cc/movie/25845393.jpg,2014-09-22(美国),https://movie.douban.com/subject/25845393/,9.2,喜剧,5,,,2023-12-28 13:38:17,2014 / 美国 / 喜剧 / 马克·森卓斯基 / 吉姆·帕森斯 约翰尼·盖尔克奇
21339708,生活大爆炸 第七季,,https://dou.img.lithub.cc/movie/21339708.jpg,2013-09-27(美国),https://movie.douban.com/subject/21339708/,9.3,喜剧,5,,,2023-12-28 13:37:58,2013 / 美国 / 喜剧 / 马克·森卓斯基 / 约翰尼·盖尔克奇 吉姆·帕森斯
10561953,生活大爆炸 第六季,,https://dou.img.lithub.cc/movie/10561953.jpg,2012-09-27(美国),https://movie.douban.com/subject/10561953/,9.2,喜剧,5,,,2023-12-28 13:37:38,2012 / 美国 / 喜剧 / 马克·森卓斯基 / 约翰尼·盖尔克奇 吉姆·帕森斯
